Home_Gols_Media,Home_Gols_Sofridos_Media,Home_Aproveitamento,Away_Gols_Media,Away_Gols_Sofridos_Media,Away_Aproveitamento,Home_Gols_Casa_Media,Home_Gols_Sofridos_Casa_Media,Home_Aproveitamento_Casa,Away_Gols_Fora_Media,Away_Gols_Sofridos_Fora_Media,Away_Aproveitamento_Fora,Home_Vitorias,Home_Derrotas,Away_Vitorias,Away_Derrotas,Diferenca_Gols_Media,Diferenca_Gols_Sofridos,Diferenca_Aproveitamento,Diferenca_Gols_Casa_Fora,Diferenca_Aproveitamento_Casa_Fora,Diferenca_Vitorias,Diferenca_Derrotas,Home_Pontos_5,Away_Pontos_5,Home_Pontos_10,Away_Pontos_10,Home_Empates_5,Away_Empates_5,Home_Empates_10,Away_Empates_10,Home_Gols_Media_10,Away_Gols_Media_10,Home_Gols_Sofridos_Media_10,Away_Gols_Sofridos_Media_10,Home_Gols_Casa_Media_10,Away_Gols_Fora_Media_10,Home_Aproveitamento_Casa_10,Away_Aproveitamento_Fora_10,Diferenca_Pontos_5,Diferenca_Pontos_10,Diferenca_Empates_5,Diferenca_Empates_10,Diferenca_Gols_Media_10,Diferenca_Gols_Sofridos_Media_10,Elo_Home,Elo_Away,Diferenca_Elo,Home,Away,Date,Res
2.5,1.5,0.6666666666666666,1.5,2.0,0.5,2.0,0.0,1.0,2.0,4.0,0.0,1,0,1,1,1.0,-0.5,0.16666666666666663,0.0,1.0,0,-1,4,3,4,3,1,0,1,0,2.5,1.5,1.5,2.0,2.0,2.0,1.0,0.0,1,1,1,1,1.0,-0.5,1509.8155733950034,1500.1844266049966,69.63114679000682,Internacional,Sao Paulo,2012-06-07,H
1.0,0.0,1.0,0.0,0.5,0.16666666666666666,1.0,0.0,1.0,0.0,1.0,0.0,2,0,0,1,1.0,-0.5,0.8333333333333334,1.0,1.0,2,-1,6,1,6,1,0,1,0,1,1.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,5,5,-1,-1,1.0,-0.5,1519.3540535333104,1489.8155733950034,89.53848013830702,Atletico-MG,Bahia,2012-06-07,D
1.0,2.5,0.0,0.5,1.0,0.16666666666666666,2.0,3.0,0.0,1.0,1.0,0.3333333333333333,0,2,0,1,0.5,1.5,-0.16666666666666666,1.0,-0.3333333333333333,0,1,0,1,0,1,0,1,0,1,1.0,0.5,2.5,1.0,2.0,1.0,0.0,0.3333333333333333,-1,-1,-1,-1,0.5,1.5,1480.4667127899224,1490.1844266049966,50.28228618492585,Coritiba,Portuguesa,2012-06-07,H
1.5,0.5,1.0,0.5,1.0,0.16666666666666666,2.0,1.0,1.0,1.0,2.0,0.0,2,0,0,1,1.0,-0.5,0.8333333333333334,1.0,1.0,2,-1,6,1,6,1,0,1,0,1,1.5,0.5,0.5,1.0,2.0,1.0,1.0,0.0,5,5,-1,-1,1.0,-0.5,1519.8155733950034,1490.1844266049966,89.63114679000682,Vasco,Nautico,2012-06-07,H
3.5,2.0,1.0,0.0,0.0,0.3333333333333333,4.0,2.0,1.0,0.0,0.0,0.3333333333333333,2,0,0,0,3.5,2.0,0.6666666666666667,4.0,0.6666666666666667,2,0,6,2,6,2,0,2,0,2,3.5,0.0,2.0,0.0,4.0,0.0,1.0,0.3333333333333333,4,4,-2,-2,3.5,2.0,1519.5332872100776,1499.8155733950034,79.71771381507415,Botafogo RJ,Cruzeiro,2012-06-08,A
0.0,1.0,0.0,2.0,1.5,0.6666666666666666,0.0,1.0,0.0,2.0,2.0,0.3333333333333333,0,2,1,0,-2.0,-0.5,-0.6666666666666666,-2.0,-0.3333333333333333,-1,2,0,4,0,4,0,1,0,1,0.0,2.0,1.0,1.5,0.0,2.0,0.0,0.3333333333333333,-4,-4,-1,-1,-2.0,-0.5,1480.6459464666896,1510.095392127625,30.550554339064547,Corinthians,Figueirense,2012-06-08,D
2.0,2.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,3.0,3.0,0.3333333333333333,0.0,2.0,0.0,0,0,1,2,0.6666666666666667,0.33333333333333326,0.0,3.0,0.3333333333333333,-1,-2,3,3,3,3,3,0,3,0,2.0,1.3333333333333333,2.0,1.6666666666666667,3.0,0.0,0.3333333333333333,0.0,0,0,3,3,0.6666666666666667,0.33333333333333326,1501.6189860379561,1489.0294924917923,72.5894935461638,Flamengo RJ,Coritiba,2012-06-09,H
1.0,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,1,2,0,0,0.6666666666666667,1.3333333333333335,0.0,1.0,0.6666666666666667,1,2,3,3,3,3,0,3,0,3,1.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,0,0,-3,-3,0.6666666666666667,1.3333333333333335,1492.1621634920389,1498.4753455242073,53.68681796783153,Sao Paulo,Santos,2012-06-10,H
1.0,2.0,0.1111111111111111,3.0,2.3333333333333335,0.6666666666666666,0.0,0.0,0.3333333333333333,3.0,2.0,1.0,0,2,2,1,-2.0,-0.3333333333333335,-0.5555555555555556,-3.0,-0.6666666666666667,-2,1,1,6,1,6,1,0,1,0,1.0,3.0,2.0,2.3333333333333335,0.0,3.0,0.3333333333333333,1.0,-5,-5,1,1,-2.0,-0.3333333333333335,1482.7084708087796,1507.2782610819747,35.43020972680483,Nautico,Botafogo RJ,2012-06-10,H
1.6666666666666667,1.3333333333333333,0.5555555555555556,1.0,1.3333333333333333,0.2222222222222222,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1,0,0,1,0.6666666666666667,0.0,0.33333333333333337,1.0,0.6666666666666667,1,-1,5,2,5,2,2,2,2,2,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,2.0,1.0,1.0,0.3333333333333333,3,3,0,0,0.6666666666666667,0.0,1510.9724484746623,1488.9377592326107,82.03468924205163,Figueirense,Ponte Preta,2012-06-10,D
